name,2019_inspection_count
"BG0001001, Kings County, NY",3
"BG0001001, Queens County, NY",2
"BG0001003, Kings County, NY",2
"BG0002001, Kings County, NY",9
"BG0002021, New York County, NY",1
"BG0003001, Richmond County, NY",7
"BG0004001, Queens County, NY",2
"BG0004002, Bronx County, NY",1
"BG0005022, Kings County, NY",1
"BG0006001, Richmond County, NY",5
"BG0006003, New York County, NY",4
"BG0006003, Queens County, NY",4
"BG0007001, New York County, NY",11
"BG0007001, Queens County, NY",3
"BG0007004, Queens County, NY",7
"BG0008001, New York County, NY",6
"BG0008003, Richmond County, NY",1
"BG0008006, New York County, NY",3
"BG0009001, Kings County, NY",2
"BG0009001, New York County, NY",18
"BG0010001, Queens County, NY",1
"BG0011001, Kings County, NY",3
"BG0012002, Queens County, NY",1
"BG0013001, New York County, NY",10
"BG0013002, New York County, NY",1
"BG0014003, Queens County, NY",3
"BG0014011, New York County, NY",3
"BG0014021, New York County, NY",2
"BG0015003, Kings County, NY",5
"BG0015011, New York County, NY",1
"BG0015013, New York County, NY",3
"BG0015021, New York County, NY",3
"BG0015022, New York County, NY",7
"BG0016001, New York County, NY",2
"BG0016002, New York County, NY",1
"BG0016003, New York County, NY",4
"BG0016005, New York County, NY",2
"BG0018001, Kings County, NY",1
"BG0018001, New York County, NY",8
"BG0018001, Queens County, NY",5
"BG0018002, New York County, NY",3
"BG0018003, New York County, NY",1
"BG0018005, New York County, NY",2
"BG0018006, New York County, NY",7
"BG0019001, Bronx County, NY",1
"BG0019001, Queens County, NY",8
"BG0021001, Kings County, NY",7
"BG0021001, New York County, NY",5
"BG0021002, Kings County, NY",3
"BG0021002, New York County, NY",4
"BG0022012, New York County, NY",1
"BG0022021, New York County, NY",2
"BG0025001, Bronx County, NY",8
"BG0025005, Queens County, NY",1
"BG0026001, Queens County, NY",3
"BG0026011, New York County, NY",1
"BG0026012, New York County, NY",1
"BG0026021, New York County, NY",1
"BG0027012, Bronx County, NY",3
"BG0027022, Bronx County, NY",3
"BG0028001, Bronx County, NY",1
"BG0028002, Queens County, NY",3
"BG0028003, New York County, NY",2
"BG0029001, New York County, NY",1
"BG0029002, New York County, NY",4
"BG0029003, New York County, NY",9
"BG0030011, New York County, NY",8
"BG0030012, New York County, NY",10
"BG0030021, New York County, NY",2
"BG0030022, New York County, NY",8
"BG0031001, Bronx County, NY",4
"BG0031001, New York County, NY",2
"BG0031001, Queens County, NY",1
"BG0031002, Kings County, NY",1
"BG0032001, New York County, NY",7
"BG0032002, New York County, NY",4
"BG0032003, New York County, NY",5
"BG0032006, New York County, NY",5
"BG0033001, Kings County, NY",1
"BG0033001, Queens County, NY",2
"BG0033002, Kings County, NY",1
"BG0033002, New York County, NY",8
"BG0033002, Queens County, NY",2
"BG0033003, New York County, NY",1
"BG0034001, Kings County, NY",1
"BG0034001, New York County, NY",4
"BG0034001, Queens County, NY",1
"BG0034002, Kings County, NY",3
"BG0034002, New York County, NY",2
"BG0034003, New York County, NY",7
"BG0034004, New York County, NY",4
"BG0036012, New York County, NY",1
"BG0036013, New York County, NY",1
"BG0036022, New York County, NY",2
"BG0037001, Kings County, NY",5
"BG0038001, New York County, NY",9
"BG0038001, Queens County, NY",1
"BG0038003, New York County, NY",5
"BG0038004, New York County, NY",7
"BG0038005, New York County, NY",5
"BG0038006, New York County, NY",1
"BG0038007, New York County, NY",5
